year,margarine_lb_per_person,maine_divorce_rate,margarine_trend,margarine_residual,margarine_standardized_residual,divorce_trend,divorce_residual,divorce_standardized_residual
2000,8.2,5.0,7.321818181818178,0.8781818181818215,1.5185114675419988,4.772727272727269,0.22727272727273107,1.6652692491768524
2001,7.0,4.7,6.876969696969693,0.1230303030303066,0.21273832153970032,4.685454545454542,0.014545454545458192,0.1065772319473313
2002,6.5,4.6,6.432121212121208,0.06787878787879187,0.1173728670563871,4.598181818181815,0.0018181818181846054,0.013322153993422107
2003,5.3,4.4,5.987272727272724,-0.6872727272727239,-1.1884002789459127,4.510909090909088,-0.11090909090908774,-0.8126513935982864
2004,5.2,4.3,5.5424242424242385,-0.3424242424242383,-0.592104195418377,4.423636363636362,-0.12363636363636221,-0.9059064715522022
2005,4.0,4.1,5.097575757575754,-1.097575757575754,-1.8978773414206769,4.336363636363635,-0.23636363636363544,-1.7318800191439172
2006,4.6,4.2,4.652727272727269,-0.05272727272726918,-0.09117356637415738,4.249090909090908,-0.049090909090907964,-0.35969815782220166
2007,4.5,4.2,4.207878787878784,0.29212121212121556,0.505122517153377,4.161818181818181,0.03818181818181898,0.27976523386170155
2008,4.2,4.2,3.7630303030302996,0.43696969696970056,0.7555878316754875,4.074545454545454,0.12545454545454593,0.9192286255456048
2009,3.7,4.1,3.318181818181815,0.3818181818181854,0.6602223771921735,3.9872727272727273,0.11272727272727234,0.8259735475916955
